Molecule ChEMBL ID,Molecular Weight,AlogP,#RO5 Violations,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Smiles
CHEMBL6034481,574.71,5.7,2.0,IC50,'=',25.0,nM,7.6,C=CC(=O)Nc1cc(Nc2ncc(C)c(-c3cc(F)c4nc(C)n(C(C)C)c4c3)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL6061951,545.62,5.24,2.0,IC50,'=',25.0,nM,7.6,C=CC(=O)Nc1cc(Nc2nccc(-c3cc(F)c4nc(C)n(C(C)C)c4c3)n2)c(OC)cc1N1CCOCC1
CHEMBL1254199,408.3,4.66,0.0,IC50,'=',53100.0,nM,4.28,CN(c1cccc(Br)c1)c1nc(N)nc2[nH]c(Cc3ccccc3)cc12
CHEMBL5900674,581.6,5.32,2.0,IC50,'=',6200.0,nM,5.21,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CC5CCC(C4)N5C(C)=O)cc3OC)ncc2C(F)(F)F)c1
CHEMBL1241483,301.33,2.8,0.0,IC50,'=',3860.0,nM,5.41,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1F
CHEMBL1242377,287.3,2.5,0.0,IC50,'=',1400.0,nM,5.85,CC(C)n1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21
CHEMBL413987,507.98,4.22,1.0,IC50,'=',191.0,nM,6.72,C[C@@H](CN(C)C(=O)CO)Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12
CHEMBL401251,389.46,4.11,0.0,IC50,'=',52.8,nM,7.28,COCCOc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OC
CHEMBL3218424,299.53,,,IC50,'=',650.0,nM,6.19,OB(O)c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1
CHEMBL6049383,590.63,5.25,2.0,IC50,'=',88.0,nM,7.06,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(C4CCN(S(C)(=O)=O)CC4)cc3OC)ncc2C(F)(F)F)c1
CHEMBL5767529,597.64,5.42,2.0,IC50,'=',1.5,nM,8.82,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCC(N5CCOCC5)CC4)cc3OC)ncc2C(F)(F)F)c1
CHEMBL4083815,416.89,5.22,1.0,IC50,'=',78230.0,nM,4.11,O=c1c2ccccc2nc(-c2ccccc2)n1-c1nnc(-c2ccccc2Cl)s1
CHEMBL1272324,465.62,3.62,0.0,IC50,'=',9.0,nM,8.05,CCN(CC)C/C=C/C(=O)N1CCc2c(sc3ncnc(N[C@H](CO)c4ccccc4)c23)C1
CHEMBL1271507,492.65,2.53,0.0,IC50,'=',89.0,nM,7.05,CN1CCN(C/C=C/C(=O)N2CCc3c(sc4ncnc(N[C@H](CO)c5ccccc5)c34)C2)CC1
CHEMBL1272167,416.53,2.67,0.0,IC50,'=',2480.0,nM,5.61,C=CS(=O)(=O)N1CCc2c(sc3ncnc(N[C@H](CO)c4ccccc4)c23)C1
CHEMBL1272325,479.61,2.61,0.0,IC50,'=',1399.0,nM,5.85,O=C(/C=C/CN1CCOCC1)N1CCc2c(sc3ncnc(N[C@H](CO)c4ccccc4)c23)C1
CHEMBL1271562,435.6,4.26,0.0,IC50,'=',5750.0,nM,5.24,CC[C@@H](Nc1ncnc2sc3c(c12)CCN(C(=O)/C=C/CN(C)C)C3)c1ccccc1
CHEMBL3545308,555.56,4.78,1.0,IC50,'=',2.1,nM,8.68,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)ncc2C(F)(F)F)c1
CHEMBL4087538,517.61,4.65,1.0,IC50,'=',6.0,nM,8.22,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4c(F)cccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL207815,502.98,2.79,1.0,IC50,'=',6.0,nM,8.22,COCCN1CC(C(N)=O)(N(C)Cc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)C1
